rowID,Country,Country Code,Name,Profile Link,Investor Type,Investment Areas,Typical Investment,Funding Stage
21ab95ba-f50a-496d-85c3-f3c24fb68009,Austria,AT,Lophas,https://www.eu-startups.com/investor/lophas-2/,Corporate VC,"Health science, innovation, AI, Environmental health and",€100k-€1.5M,Series A/B
da484a76-095a-4a9e-a3b1-c8d1021bf885,Austria,AT,Lophas,https://www.eu-startups.com/investor/lophas/,VC Firm,"Health science, innovation, AI, Environmental health and",€100k-€1.5M,Series A/B
031fdfed-dc68-4b13-995f-6ce85abb7d18,Austria,AT,Carinthian Venture Fonds GmbH,https://www.eu-startups.com/investor/carinthian-venture-fonds-gmbh/,VC Firm,"Deep Tech, Digital Health, Edu Tech, FinTech & InsurTech, Impact, Other",€100k-€1.5M,"Pre-Seed / Seed, Series A/B"
3e77e920-1ab0-4fed-a789-1d218294c0a4,Austria,AT,Pentech VC,https://www.eu-startups.com/investor/pentech-vc/,VC Firm,"AI, ML, Bloackchain, Health, Mobility, Enterprise Transformation",€1.5M-€3M,Series A/B
8e32bcad-75c5-481b-8366-3d5825f5f826,Austria,AT,PUSH Ventures,https://www.eu-startups.com/investor/push-ventures/,VC Firm,"Healthtech, Fintech, Deep Tech, Crypto, Circularity, Food Systems, TravelTech, HRTech, Energy",€100k-€1.5M,Pre-Seed / Seed
217fdebb-e178-4be9-b60a-2a742d14e66d,Austria,AT,Forbion Capital Partners,https://www.eu-startups.com/investor/forbion-capital-partners/,VC Firm,"Life Sciences, Bioeconomy",€1.5M-€3M,Series A/B
f862b4df-17b7-4d34-8b5a-b7e56e63f4f1,Austria,AT,Grow F,https://www.eu-startups.com/investor/grow-f/,Accelerator,Early stage gender-diverse startups in Europe,0-€100k,Pre-Seed / Seed
a6cd629b-e1bc-479d-b100-5ebc207b3669,Austria,AT,Gateway Ventures,https://www.eu-startups.com/investor/gateway-ventures/,VC Firm,"B2B SaaS, HealthTech, Sustainability",€100k-€1.5M,Pre-Seed / Seed
269f69b8-d9bf-4125-a724-dd5474a5d99d,Austria,AT,GC Investments,https://www.eu-startups.com/investor/gc-investments/,VC Firm,"Semiconductor, MedTech, Pharma, Healthtech",Above €3M,"Series A/B, Series C & Beyond"
398e798c-f4f6-47b4-ba29-69d0bbf07faf,Austria,AT,Epopée Gestion,https://www.eu-startups.com/investor/epopee-gestion/,VC Firm,"Funding Platform, Impact Investing, Venture Capital",Above €3M,"Pre-Seed / Seed, Series A/B, Series C & Beyond"
