rowID,Name,Profile Link,Investor Type,Investment Areas,Typical Investment,Funding Stage
03766e7a-07f4-4439-8af6-f63ff6e5646b,BlueYard Capital,https://www.eu-startups.com/investor/blueyard-capital-2/,VC Firm,"Web3, Synthetic Biology, Computation & Engineering, Data",€1.5M-€3M,Series A/B
8549b963-760c-4c12-a84f-860d909f1492,Merantix,https://www.eu-startups.com/investor/merantix/,VC Firm,"AI, healthcare, life sciences, techbio, manufacturing, legal, finance",€1.5M-€3M,Pre-Seed / Seed
8e4b0aa7-c0a0-48ad-939c-26141b8cd549,BOOOM,https://www.eu-startups.com/investor/booom/,VC Firm,"Supply Chain, B2B, B2C",€100k-€1.5M,Pre-Seed / Seed
9b70c3d1-20d8-4bb3-b0d2-d1719d91d0e5,Green European Tech Fund,https://www.eu-startups.com/investor/green-european-tech-fund/,VC Firm,"Energy and Resources, Industry, Manufacturing, Mobility, Logistics, Building, Infrastructure",Above €3M,"Series A/B, Series C & Beyond"
06cb4cf3-3601-45cd-a2ca-8ab09b1f2ae6,Kärcher New Ventures,https://www.eu-startups.com/investor/karcher-new-ventures/,Corporate VC,"Internal digitalisation, Smart Operation, New Technologies, Digital Business Models, Sustainable enteprise",€100k-€1.5M,"Pre-Seed / Seed, Series A/B"
51680864-cc53-4983-a0f2-86772a9a7ab3,Better Ventures,https://www.eu-startups.com/investor/better-ventures/,VC Firm,"Climate, PropTech, Food, Agritech, Circularity, Mobility, Energy, Education",€100k-€1.5M,Pre-Seed / Seed
293553d7-20a7-4ac6-b73f-d4907a251a04,hub:raum,https://www.eu-startups.com/investor/hubraum-2/,Accelerator,"AI, IoT, 5G, quantum computing, LTE, the metaverse",€100k-€1.5M,"Pre-Seed / Seed, Series A/B"
513be0d7-7a77-466b-a7eb-0a20c4957e12,DB1 Ventures,https://www.eu-startups.com/investor/db1-ventures/,VC Firm,Fintech,Above €3M,Series C & Beyond
14646a21-6b7b-42a8-93e1-0ad6f89201ed,Schumpeter VC,https://www.eu-startups.com/investor/schumpeter-vc/,VC Firm,"FinTech, InsurTech and Cyber Security",€100k-€1.5M,Pre-Seed / Seed
d3d5d2d6-6703-4ea5-9948-922e73fcbccf,blueworld.group,https://www.eu-startups.com/investor/blueworld-group/,VC Firm,"Climate, Sustainability, Future of Work, Education",€100k-€1.5M,"Pre-Seed / Seed, Series A/B"
