rowID,Name,Profile Link,Investor Type,Investment Areas,Typical Investment,Funding Stage
df4252c3-ad8b-4b6e-824d-c30467a8f15a,GrayBella Capital,https://www.eu-startups.com/investor/graybella-capital/,VC Firm,"Deep-tech, Health-tech",€1.5M-€3M,"Series A/B, Series C & Beyond"
a91d3270-9bfb-462d-a9e9-4bc8be30b4ea,Clearance Venture Partners,https://www.eu-startups.com/investor/clearance-venture-partners/,VC Firm,"Proptech, Contech, Climate",€100k-€1.5M,Pre-Seed / Seed
5f29a091-0b1a-47f3-bb31-d30422c66b4d,Beringea,https://www.eu-startups.com/investor/beringea/,VC Firm,"Advanced Manufacturing, B2B Marketplaces, Clean Technology, Consumer, Healthcare, Media, SaaS",€1.5M-€3M,Series A/B
5373f6ad-71c2-4329-a4ec-220c74a0ae5f,Kohli Ventures,https://www.eu-startups.com/investor/kohli-ventures/,VC Firm,"E-sports, E-commerce, Biotech, AI, Hardware, Robotics",€1.5M-€3M,Pre-Seed / Seed
b571fdde-b369-4bb4-b8cb-419763ffce37,Crista Galli Ventures,https://www.eu-startups.com/investor/crista-galli-ventures/,VC Firm,"Healthtech, Deeptech, Digital Health, Personalized Healthcare",€100k-€1.5M,"Pre-Seed / Seed, Series A/B"
972518d8-108e-4f7d-83d5-e02b6e5d3ad5,Creator Ventures,https://www.eu-startups.com/investor/creator-ventures/,VC Firm,"Consumer Social, Marketplaces, Creator Economy, E-commerce Enablement",€100k-€1.5M,"Pre-Seed / Seed, Series A/B"
01506614-0363-43f5-aef0-9267a666b584,SHEIN Circularity Fund,https://www.eu-startups.com/investor/shein-circularity-fund/,Corporate VC,"New Fibres, Textile, Sustainability, Circular Economy",Above €3M,"Series A/B, Series C & Beyond"
482caea4-3946-4a26-b30e-f3d8f3a9903d,Backfuture VC,https://www.eu-startups.com/investor/backfuture-vc/,VC Firm,SaaS,€100k-€1.5M,Pre-Seed / Seed
cd68885a-0606-449e-9e0d-28cbf240bd97,JuneX Capital Partners,https://www.eu-startups.com/investor/junex-capital-partners/,VC Firm,"education, knowledge, skills, health and environment",€100k-€1.5M,"Pre-Seed / Seed, Series A/B"
de7c11d5-4f35-48f8-989d-64cf340e04d4,Leadblock Bitpanda Ventures,https://www.eu-startups.com/investor/leadblock-bitpanda-ventures/,VC Firm,"Web3, Blockchain, Crypto",€100k-€1.5M,Pre-Seed / Seed
11f4eb66-bb59-4b2c-a306-40f630c42e34,Delin Ventures,https://www.eu-startups.com/investor/delin-ventures/,VC Firm,"Cell therapy (therapeutics, services and manufacturing technologies), HR Tech, Productivity, New Work, Creator & Passion Economy",€100k-€1.5M,Pre-Seed / Seed
9bff7c18-20d8-4ada-bb87-64d77178272d,Pioneer Group Life Science Accelerator,https://www.eu-startups.com/investor/pioneer-group-life-science-accelerator/,VC Firm,"Life Sciences, Healthtech, Medtech",0-€100k,Pre-Seed / Seed
39127921-eb17-4baf-af06-b8ca28d79670,Ahren Innovation Capital,https://www.eu-startups.com/investor/ahren-innovation-capital/,VC Firm,"Brain, AI, Efficient Energy, Genetics, Space & Robotics",Above €3M,"Series A/B, Series C & Beyond"
8e9b4fbb-412d-4fbd-a039-e34c59166420,Index Ventures,https://www.eu-startups.com/investor/index-ventures/,VC Firm,"SaaS, Fintech, AI, Enterprise Software",Above €3M,"Pre-Seed / Seed, Series A/B"
50325c02-d169-4f7f-8dee-5de6d27b9cfd,Noa VC,https://www.eu-startups.com/investor/noa-vc/,VC Firm,"Structures, Energy, Materials, Environments, Mobility, Community",€100k-€1.5M,Pre-Seed / Seed
a4493dd9-107d-4ef3-af64-c25e891740d3,UCL Technology Fund,https://www.eu-startups.com/investor/ucl-technology-fund/,VC Firm,Life Sciences,€100k-€1.5M,"Pre-Seed / Seed, Series A/B"
9ed2461f-cd1d-40e4-996c-d3c0cd0742a8,Blackseed,https://www.eu-startups.com/investor/blackseed/,VC Firm,"Inclusion, Sector Agnostic",€100k-€1.5M,Pre-Seed / Seed
212361c0-55c2-4aa4-8daf-49f501f33c28,Valia Ventures,https://www.eu-startups.com/investor/valia-ventures/,VC Firm,"Healthcare, Robotics, Fintech, Insurance, AI",€100k-€1.5M,"Pre-Seed / Seed, Series A/B"
d97bc148-1742-4c70-a143-068514cd8135,UP VC,https://www.eu-startups.com/investor/up-vc/,VC Firm,"Fintech, Data, AI, ESGtech, Healthtech, Medtech",€1.5M-€3M,Pre-Seed / Seed
98a33856-8ab4-484c-82f3-867c7dbd6c4a,Martlet Capital,https://www.eu-startups.com/investor/martlet-capital/,VC Firm,"artificial intelligence and machine learning, digital health and personalised medicine, engineering, internet of things, new materials, quantum technologies, semiconductors, sensing, space technology, sustainable technologies, and wireless communications",€100k-€1.5M,"Pre-Seed / Seed, Series A/B"
78d6ad70-6b5f-4f72-ab16-e7a019b32c5e,KHP Ventures,https://www.eu-startups.com/investor/khp-ventures/,Corporate VC,"Healthtech, Medtech, Digital Health, Life Sciences, Diagnostics",€1.5M-€3M,Pre-Seed / Seed
679038f2-aab7-47e6-9709-1d2de2bfe345,Mercuri VC,https://www.eu-startups.com/investor/mercuri-vc/,VC Firm,"gaming, music, e-sports, design, privacy, education, social, creator economy and communities.",€100k-€1.5M,Pre-Seed / Seed
0f35dae5-afe5-4fc3-91af-a9e3adf7a004,Volution Ventures,https://www.eu-startups.com/investor/volution-ventures/,VC Firm,"Fintech, SaaS",€1.5M-€3M,Series A/B
80895dd4-a2b8-4342-b849-8dc2c2008412,Mouro Capital,https://www.eu-startups.com/investor/mouro-capital-2/,VC Firm,"Fintech, Insurtech, Real Estate, Retail",€1.5M-€3M,Series A/B
a83f35aa-9a0f-466a-8f60-c8500adc7519,The Players Fund,https://www.eu-startups.com/investor/the-players-fund/,VC Firm,"Sportstech, Hospitality, Event Industry, Content Creation, Media",€100k-€1.5M,Pre-Seed / Seed
2ded5671-e1db-4ac5-94de-f52227221e1a,Pact VC,https://www.eu-startups.com/investor/pact-vc/,VC Firm,"Climate, Wellbeing, Sustainability",€100k-€1.5M,Pre-Seed / Seed
f473e81c-09e2-482e-a23c-176b0f4b501a,Passion Capital,https://www.eu-startups.com/investor/passion-capital/,VC Firm,"Fintech, E-Commerce, Software, AI, ML, Healthtech",Above €3M,"Series A/B, Series C & Beyond"
4db6786b-7e8f-4128-88fd-55942015d456,Pink Salt Ventures,https://www.eu-startups.com/investor/pink-salt-ventures/,VC Firm,"Femtech, Sextech, Wellness, Health",€100k-€1.5M,Pre-Seed / Seed
0e5a7370-80a9-4e02-964f-9fe32b90569e,SFC Capital,https://www.eu-startups.com/investor/sfc-capital/,VC Firm,"B2B, B2C, Consumer, Fintech, GreenTech, Hardware, Robotics, Healthtech",€100k-€1.5M,Pre-Seed / Seed
92347359-de8e-4de9-a5d9-4e1850a1c0b4,Infinium Partners,https://www.eu-startups.com/investor/infinium-partners/,VC Firm,"Impact Investing, Energy Transition, Efficiency and Mobility",€100k-€1.5M,Pre-Seed / Seed
d61129eb-7b1a-4998-9d9f-fe5faf3e9db7,Diana NATO Accelerator,https://www.eu-startups.com/investor/diana-nato-accelerator/,Accelerator,"DeepTech, Defence, Dual Use, Surveillence, Energy and Power",€100k-€1.5M,Pre-Seed / Seed
80147671-d888-4f14-9cd6-2f4ff4ae50a5,Embryo Ventures,https://www.eu-startups.com/investor/embryo-ventures/,VC Firm,"Climate, ConTech, Sustainability, Healthcare, Insurance & Mobility",€100k-€1.5M,Pre-Seed / Seed
4ed9f4d7-c5b3-41c0-a126-a37aa71c8d7e,Cell VC,https://www.eu-startups.com/investor/cell-vc/,VC Firm,"Agritech, Food & Beverage, Nanotechnology, Software, Marketplaces",€100k-€1.5M,Pre-Seed / Seed
cb5b5758-585a-4031-a25a-027b0881134d,Unruly Capital,https://www.eu-startups.com/investor/unruly-capital/,VC Firm,"Health, Climate, Computing, Agriculture, Transportation",€100k-€1.5M,Pre-Seed / Seed
0d06d9ca-2056-4500-afee-2fad348c8b80,AlbionVC,https://www.eu-startups.com/investor/albionvc/,VC Firm,"Climate, Health, Sustainability, AI, Data, Deeptech, Life Sciences",Above €3M,Series A/B
77f3b030-b365-40e0-b45b-93b354b1e39b,Ascension,https://www.eu-startups.com/investor/ascension-2/,VC Firm,"Impact, DeepTech, E-Commerce, Fintech, Health, New Work, Sustainability",€100k-€1.5M,Pre-Seed / Seed
79dfb71e-5098-4363-9eb2-8575ba5ecdf9,Simsan Ventures,https://www.eu-startups.com/investor/simsan-ventures/,VC Firm,"Underrepresented Founders, Underinvested sectors, Undervalued Markets",€100k-€1.5M,"Pre-Seed / Seed, Series A/B"
50a97e34-b943-4aa9-b1a2-77682cbb2682,Sprints,https://www.eu-startups.com/investor/sprints/,VC Firm,"Fintech, Marketplaces, SaaS, HRtech, Beauty & Wellness",Above €3M,"Series A/B, Series C & Beyond"
0d39865c-ceeb-42ac-8d15-c505c77f7ace,Flight Fund,https://www.eu-startups.com/investor/flight-fund/,VC Firm,"Health & Wellbeing, Biotech, Commerce, Tech, Blockchain, Space",€1.5M-€3M,Series A/B
0ca61c47-93cc-4c9b-a60f-7785c84195e5,Notion Capital,https://www.eu-startups.com/investor/notion-capital/,VC Firm,"Cloud Computing, Modern Enterprise, Industry OS, Future Finance",€1.5M-€3M,Series A/B
ad2b14f1-fe12-443c-9da7-96540ba79ea6,Outsized Ventures,https://www.eu-startups.com/investor/outsized-ventures/,VC Firm,"Biotech, Healthtech, Life Sciences, Pharma, Food and Beverage, Machine Learning, AI",€1.5M-€3M,Pre-Seed / Seed
268e2e4d-201d-4a4c-9461-c2552419706e,Mustard Seed+ Partners,https://www.eu-startups.com/investor/mustard-seed-partners/,VC Firm,SDG 1 - 12,€100k-€1.5M,Pre-Seed / Seed
1c04a316-5084-4710-8587-a5f47699ee45,Highland Europe,https://www.eu-startups.com/investor/highland-europe/,VC Firm,"SaaS, Software, Machine Learning, Retail, Analytics",Above €3M,"Series A/B, Series C & Beyond"
ed2edb61-0ae8-451d-b379-43454ff757d9,inHealth Ventures,https://www.eu-startups.com/investor/inhealth-ventures/,VC Firm,"MedTech, Life Sciences, Healthtech",€1.5M-€3M,"Pre-Seed / Seed, Series A/B"
98d9ae2f-8898-404b-b6ec-b38122e8be34,Lightrock,https://www.eu-startups.com/investor/lightrock/,VC Firm,"Smart Mobility, Infrastructure Tech, Fintech, Renewables, Sustainable Food & Agriculture, Healthtech",Above €3M,"Series A/B, Series C & Beyond"
fa930f8b-a6f6-468a-9cbd-38f0601790eb,Localglobe,https://www.eu-startups.com/investor/localglobe/,VC Firm,"Fintech, E-Commerce, SaaS, Software, AI, Machine Learning",€100k-€1.5M,Pre-Seed / Seed
b1aa7181-a4fc-4987-bf93-89da8d1fb70b,Expansion Capital,https://www.eu-startups.com/investor/expansion-capital-2/,VC Firm,"Fintech, Travel Tech, Software, Sustainability, B2B, marketplaces, AI",€100k-€1.5M,Pre-Seed / Seed
5c242b14-f983-4893-90b7-c2f309eb58a4,FPE Capital,https://www.eu-startups.com/investor/fpe-capital/,VC Firm,"Software, Software Services, Data",Above €3M,Series C & Beyond
afa1be31-4b30-4dd4-9db8-8812185133f5,Edge,https://www.eu-startups.com/investor/edge/,VC Firm,"Music, AI, Software, Adtech, Edtech",Above €3M,"Pre-Seed / Seed, Series A/B"
8a8aeb90-9d79-4c41-972b-78b1dcd0285b,Entreé Capital,https://www.eu-startups.com/investor/entree-capital/,VC Firm,Crypto & Blockchain Cybersecurity DeepTech DevOps & Data E-Commerce & Consumer Tech FinTech & InsurTech FoodTech & AgTech Games & Social Health & Life Sciences Logistics & Industry 4.0 PropTech SaaS,0-€100k,"Pre-Seed / Seed, Series A/B, Series C & Beyond"
17f7e64f-476b-4aff-9c77-a27042806d7e,DN Capital,https://www.eu-startups.com/investor/dn-capital/,VC Firm,"SaaS, E-Commerce, Fintech",Above €3M,Series A/B
e80df781-c3aa-47e3-8ba2-e78a30af46fb,ETF Partners,https://www.eu-startups.com/investor/etf-partners/,VC Firm,"Climate Tech, Sustainability, Impact Investing",0-€100k,Series A/B
ea166466-5e66-497a-8f53-fa8c19c014b2,Circularity Capital,https://www.eu-startups.com/investor/circularity-capital/,VC Firm,"Sustainability, Food, Retail, Circular Models, Circular Materials, Enabling Solutions",Above €3M,"Series A/B, Series C & Beyond"
7db53d4b-2c06-4a58-9919-ebb524129af3,Climate VC,https://www.eu-startups.com/investor/climate-vc/,VC Firm,"Sustainability, Climate, Food, Carbon Removals, Green Finance",0-€100k,Pre-Seed / Seed
be1fec08-4373-416a-b6dc-e433ca2088f7,Adjuvo,https://www.eu-startups.com/investor/adjuvo/,VC Firm,"Mobility, Rental Platforms, Sharing Economy, Life Science, AI, Marketing",0-€100k,
9073ec8d-47a8-4c53-b10a-40d9b3019de3,Anamcara,https://www.eu-startups.com/investor/anamcara/,VC Firm,"SaaS, B2B, Blockchain, AI, Fintech",€100k-€1.5M,"Pre-Seed / Seed, Series A/B"
293db397-71ac-4522-88df-919e3aadf854,BGF,https://www.eu-startups.com/investor/bgf/,VC Firm,"Climate, Sustainability. Deep Tech, Life Sciences",€1.5M-€3M,"Pre-Seed / Seed, Series A/B, Series C & Beyond"
